,State,Year,Population,Number of Cannabis Users,Number of Overdose Deaths,Per Capita Cannabis Use,Per Capita Opioid Deaths
0,Total U.S.,2014,318386329,34038000,47055,0.10690785658702073,0.00014779214970627713
1,North Dakota,2014,738736,62000,43,0.08392714041281324,5.820753286695112e-05
2,Nebraska,2014,1879955,158000,125,0.08404456489650018,6.649095324090205e-05
3,South Dakota,2014,849670,62000,63,0.07296950580813728,7.414643332117176e-05
4,Iowa,2014,3110643,251000,264,0.08069071249899136,8.486991274794311e-05
5,Texas,2014,26963092,2043000,2601,0.07577024178087587,9.64651976857847e-05
6,Minnesota,2014,5452665,553000,517,0.10141829729132451,9.481602115662708e-05
7,Virginia,2014,8315430,891000,980,0.10715020149288731,0.00011785319580586933
8,Mississippi,2014,2991892,229000,336,0.07654019596964061,0.00011230351897728928
9,Georgia,2014,10071204,963000,1206,0.09561915338027112,0.0001197473509622087
10,Hawaii,2014,1415335,144000,157,0.10174269695867057,0.0001109278015452172
11,California,2014,38586706,4633000,4521,0.12006725839723142,0.00011716470434143822
12,Arizona,2014,6732873,752000,356,0.11169080420795105,5.2874901992061936e-05
13,Arizona,2014,6732873,752000,1211,0.11169080420795105,0.00017986378177636798
14,New York,2014,19653431,2372000,2300,0.12069139480022598,0.0001170279123273692
15,Oregon,2014,3965447,649000,522,0.16366376854866552,0.00013163711430262464
16,Kansas,2014,2901861,259000,332,0.08925306897883806,0.00011440933938600092
17,Illinois,2014,12885092,1305000,1705,0.10127983564261707,0.0001323234634257947
18,Florida,2014,19853880,1990000,2634,0.10023229716307341,0.00013266928177263084
19,Alabama,2014,4843737,404000,723,0.08340667546565803,0.00014926491673680878
20,North Carolina,2014,9937295,986000,1358,0.09922217263349835,0.00013665690713619754
21,South Carolina,2014,4826858,460000,701,0.09530008962351907,0.00014522904962192796
22,Maine,2014,1331217,224000,216,0.1682670819257867,0.00016225754328558003
23,Washington,2014,7057531,1105000,979,0.15657033599994105,0.00013871706691759484
24,Idaho,2014,1632248,152000,212,0.09312310384206321,0.00012988222377971974
25,Alaska,2014,737075,114000,124,0.15466540040023063,0.0001682325407862158
26,Montana,2014,1022657,120000,125,0.1173413959910312,0.00012223062082399085
27,New Jersey,2014,8867277,844000,1253,0.09518141815125433,0.0001413060627292911
28,Maryland,2014,5960064,670000,1070,0.11241490024268196,0.00017952827352189505
29,District of Columbia,2014,663603,121000,96,0.1823379339755848,0.00014466480712112514
30,Wisconsin,2014,5753199,572000,853,0.0994229471290668,0.00014826533898792653
31,Vermont,2014,625693,108000,83,0.17260861157148955,0.00013265291444845956
32,New Hampshire,2014,1334257,194000,334,0.14539927465248448,0.0002503265862573702
33,Colorado,2014,5352637,909000,899,0.16982283685592728,0.00016795459882670916
34,Michigan,2014,9932033,1304000,1762,0.1312923547475124,0.00017740577382294238
35,Connecticut,2014,3595697,427000,623,0.11875305399759768,0.00017326265255387203
36,Massachusetts,2014,6764864,989000,1289,0.14619658281378606,0.00019054337234274038
37,Indiana,2014,6596019,700000,1172,0.10612461850094732,0.0001776829326901575
38,Wyoming,2014,583159,51000,109,0.08745470789270164,0.00018691300314322508
39,Missouri,2014,6059130,639000,1067,0.10546068494981953,0.00017609788864077845
40,Louisiana,2014,4645938,425000,777,0.09147775971181707,0.00016724286893195735
41,Tennessee,2014,6544617,560000,1269,0.08556650450286091,0.00019389981109666158
42,Delaware,2014,933131,109000,189,0.11681103724986096,0.00020254390862590568
43,Pennsylvania,2014,12792392,1265000,2732,0.09888690090172346,0.0002135644373624573
44,Oklahoma,2014,3879187,338000,777,0.08713165928840244,0.0002002997019736352
45,Ohio,2014,11606573,1122000,2744,0.09666936140409405,0.00023641776086705352
46,Nevada,2014,2818935,304000,545,0.10784214605870657,0.00019333542632235225
47,Utah,2014,2938327,224000,603,0.07623385688522755,0.00020521882009728664
48,Rhode Island,2014,1056511,170000,247,0.16090698535083875,0.00023378838459798336
49,New Mexico,2014,2090236,267000,547,0.1277367723070505,0.00026169293802230946
50,Kentucky,2014,4416992,398000,1077,0.09010657026320175,0.00024383109591323687
51,West Virginia,2014,1850569,172000,627,0.09294438629416142,0.00033881471050255355
