,State,Year,Population
0,Total U.S.,2014,318386329
1,Alabama,2014,4843737
2,Alaska,2014,737075
3,Arizona,2014,6732873
4,Arkansas,2014,2968759
5,California,2014,38586706
6,Colorado,2014,5352637
7,Connecticut,2014,3595697
8,Delaware,2014,933131
9,District of Columbia,2014,663603
10,Florida,2014,19853880
11,Georgia,2014,10071204
12,Hawaii,2014,1415335
13,Idaho,2014,1632248
14,Illinois,2014,12885092
15,Indiana,2014,6596019
16,Iowa,2014,3110643
17,Kansas,2014,2901861
18,Kentucky,2014,4416992
19,Louisiana,2014,4645938
20,Maine,2014,1331217
21,Maryland,2014,5960064
22,Massachusetts,2014,6764864
23,Michigan,2014,9932033
24,Minnesota,2014,5452665
25,Mississippi,2014,2991892
26,Missouri,2014,6059130
27,Montana,2014,1022657
28,Nebraska,2014,1879955
29,Nevada,2014,2818935
30,New Hampshire,2014,1334257
31,New Jersey,2014,8867277
32,New Mexico,2014,2090236
33,New York,2014,19653431
34,North Carolina,2014,9937295
35,North Dakota,2014,738736
36,Ohio,2014,11606573
37,Oklahoma,2014,3879187
38,Oregon,2014,3965447
39,Pennsylvania,2014,12792392
40,Rhode Island,2014,1056511
41,South Carolina,2014,4826858
42,South Dakota,2014,849670
43,Tennessee,2014,6544617
44,Texas,2014,26963092
45,Utah,2014,2938327
46,Vermont,2014,625693
47,Virginia,2014,8315430
48,Washington,2014,7057531
49,West Virginia,2014,1850569
50,Wisconsin,2014,5753199
51,Wyoming,2014,583159
52,,2015,320738994
53,,2015,4854803
54,,2015,738430
55,,2015,6832810
56,,2015,2979732
57,,2015,38904296
58,,2015,5454328
59,,2015,3588561
60,,2015,942065
61,,2015,677014
62,,2015,20219111
63,,2015,10183353
64,,2015,1422999
65,,2015,1652495
66,,2015,12859585
67,,2015,6611442
68,,2015,3122541
69,,2015,2910717
70,,2015,4429126
71,,2015,4666998
72,,2015,1329098
73,,2015,5988528
74,,2015,6797484
75,,2015,9934483
76,,2015,5484002
77,,2015,2990231
78,,2015,6075411
79,,2015,1031495
80,,2015,1892059
81,,2015,2868531
82,,2015,1337480
83,,2015,8870312
84,,2015,2090071
85,,2015,19657321
86,,2015,10037218
87,,2015,755537
88,,2015,11622315
89,,2015,3910518
90,,2015,4018542
91,,2015,12789838
92,,2015,1056886
93,,2015,4896006
94,,2015,854663
95,,2015,6595354
96,,2015,27468531
97,,2015,2983626
98,,2015,625810
99,,2015,8367303
100,,2015,7167287
101,,2015,1843332
102,,2015,5762927
103,,2015,586389
104,,2016,323071755
105,,2016,4866824
106,,2016,742575
107,,2016,6944767
108,,2016,2991815
109,,2016,39149186
110,,2016,5543844
111,,2016,3579830
112,,2016,949989
113,,2016,687576
114,,2016,20627237
115,,2016,10308442
116,,2016,1428885
117,,2016,1684036
118,,2016,12821709
119,,2016,6637898
120,,2016,3133210
