,State,12 or Older Estimate,Year
0,Total U.S.,34038,2014
5,Alabama,404,2014
6,Alaska,114,2014
7,Arizona,752,2014
8,Arkansas,277,2014
9,California,4633,2014
10,Colorado,909,2014
11,Connecticut,427,2014
12,Delaware,109,2014
13,District of Columbia,121,2014
14,Florida,1990,2014
15,Georgia,963,2014
16,Hawaii,144,2014
17,Idaho,152,2014
18,Illinois,1305,2014
19,Indiana,700,2014
20,Iowa,251,2014
21,Kansas,259,2014
22,Kentucky,398,2014
23,Louisiana,425,2014
24,Maine,224,2014
25,Maryland,670,2014
26,Massachusetts,989,2014
27,Michigan,1304,2014
28,Minnesota,553,2014
29,Mississippi,229,2014
30,Missouri,639,2014
31,Montana,120,2014
32,Nebraska,158,2014
33,Nevada,304,2014
34,New Hampshire,194,2014
35,New Jersey,844,2014
36,New Mexico,267,2014
37,New York,2372,2014
38,North Carolina,986,2014
39,North Dakota,62,2014
40,Ohio,1122,2014
41,Oklahoma,338,2014
42,Oregon,649,2014
43,Pennsylvania,1265,2014
44,Rhode Island,170,2014
45,South Carolina,460,2014
46,South Dakota,62,2014
47,Tennessee,560,2014
48,Texas,2043,2014
49,Utah,224,2014
50,Vermont,108,2014
51,Virginia,891,2014
52,Washington,1105,2014
53,West Virginia,172,2014
54,Wisconsin,572,2014
55,Wyoming,51,2014
56,Total U.S.,35584,2015
57,Northeast,6996,2015
58,Midwest,7216,2015
59,South,11589,2015
60,West,9783,2015
61,Alabama,389,2015
62,Alaska,127,2015
63,Arizona,734,2015
64,Arkansas,284,2015
65,California,4936,2015
66,Colorado,1033,2015
67,Connecticut,479,2015
68,Delaware,103,2015
69,District of Columbia,134,2015
70,Florida,2152,2015
71,Georgia,1052,2015
72,Hawaii,147,2015
73,Idaho,152,2015
74,Illinois,1339,2015
75,Indiana,760,2015
76,Iowa,235,2015
77,Kansas,292,2015
78,Kentucky,449,2015
79,Louisiana,427,2015
80,Maine,227,2015
81,Maryland,757,2015
82,Massachusetts,1058,2015
83,Michigan,1266,2015
84,Minnesota,579,2015
85,Mississippi,212,2015
86,Missouri,683,2015
87,Montana,133,2015
88,Nebraska,166,2015
89,Nevada,309,2015
90,New Hampshire,199,2015
91,New Jersey,894,2015
92,New Mexico,253,2015
93,New York,2519,2015
94,North Carolina,975,2015
95,North Dakota,61,2015
96,Ohio,1179,2015
97,Oklahoma,358,2015
98,Oregon,659,2015
99,Pennsylvania,1339,2015
100,Rhode Island,170,2015
101,South Carolina,507,2015
102,South Dakota,75,2015
103,Tennessee,606,2015
104,Texas,2213,2015
105,Utah,211,2015
106,Vermont,111,2015
107,Virginia,796,2015
108,Washington,1037,2015
109,West Virginia,174,2015
110,Wisconsin,584,2015
111,Wyoming,52,2015
112,Total U.S.,36806,2016
113,Northeast,7094,2016
114,Midwest,7405,2016
115,South,11860,2016
116,West,10447,2016
117,Alabama,386,2016
118,Alaska,134,2016
119,Arizona,696,2016
120,Arkansas,274,2016
121,California,5296,2016
122,Colorado,1057,2016
123,Connecticut,461,2016
124,Delaware,105,2016
125,District of Columbia,143,2016
126,Florida,2275,2016
127,Georgia,1048,2016
128,Hawaii,151,2016
129,Idaho,158,2016
130,Illinois,1320,2016
131,Indiana,733,2016
132,Iowa,254,2016
133,Kansas,265,2016
134,Kentucky,470,2016
135,Louisiana,429,2016
136,Maine,228,2016
137,Maryland,779,2016
138,Massachusetts,1088,2016
139,Michigan,1317,2016
140,Minnesota,592,2016
141,Mississippi,231,2016
142,Missouri,668,2016
143,Montana,160,2016
144,Nebraska,176,2016
145,Nevada,319,2016
146,New Hampshire,202,2016
147,New Jersey,907,2016
148,New Mexico,272,2016
149,New York,2491,2016
150,North Carolina,996,2016
151,North Dakota,61,2016
152,Ohio,1344,2016
153,Oklahoma,357,2016
154,Oregon,783,2016
155,Pennsylvania,1415,2016
156,Rhode Island,184,2016
157,South Carolina,448,2016
158,South Dakota,83,2016
159,Tennessee,709,2016
160,Texas,2264,2016
161,Utah,229,2016
162,Vermont,118,2016
163,Virginia,768,2016
164,Washington,1140,2016
165,West Virginia,179,2016
166,Wisconsin,592,2016
167,Wyoming,51,2016
168,Total U.S.,39252,2017
169,Northeast,7239,2017
170,Midwest,7896,2017
171,South,12478,2017
172,West,11639,2017
