,State,Year,Population,Number of Cannabis Users,Number of Opioid Deaths,Per Capita Cannabis Use,Per Capita Opioid Deaths,Recreational,Rec Year Legalized,Medical,Med Year Legalized,Years legal (rec),Years legal (med)
0,Total U.S.,2014,318386329,34038000,47055,0.1069078565870207,0.0001477921497062,0,0,0,0,0,0
1,Total U.S.,2015,320738994,35584000,52404,0.1109437912622498,0.0001633851854009,0,0,0,0,0,0
2,Total U.S.,2016,323071755,36806000,63450,0.1139251557289494,0.0001963959987774,0,0,0,0,0,0
3,Total U.S.,2017,325122128,39252000,70237,0.1207300168753816,0.000216032665731,0,0,0,0,0,0
4,Total U.S.,2018,326838199,42211000,56144,0.1291495306520153,0.0001717791866794,0,0,0,0,0,0
5,Total U.S.,2019,328329953,45865000,70630,0.1396917935172366,0.0002151189660116,0,0,0,0,0,0
6,Total U.S.,2020,329484123,48938000,91799,0.1485291599316304,0.0002786143355381,0,0,0,0,0,0
7,North Dakota,2014,738736,62000,43,0.0839271404128132,5.820753286695112e-05,0,0,1,2016,0,6
8,North Dakota,2015,755537,61000,61,0.0807372769301834,8.073727693018344e-05,0,0,1,2016,0,6
9,North Dakota,2016,756114,61000,77,0.0806756653097284,0.0001018364955549,0,0,1,2016,0,6
10,North Dakota,2017,756755,68000,68,0.0898573514545658,8.985735145456588e-05,0,0,1,2016,0,6
11,North Dakota,2018,760062,74000,70,0.0973604784872813,9.209774992040125e-05,0,0,1,2016,0,6
12,North Dakota,2019,763724,78000,82,0.1021311363791107,0.0001073686305523,0,0,1,2016,0,6
13,North Dakota,2020,765309,92000,114,0.1202128813328995,0.0001489594399125,0,0,1,2016,0,6
14,Nebraska,2014,1879955,158000,125,0.0840445648965001,6.649095324090205e-05,0,0,0,0,0,0
15,Nebraska,2015,1892059,166000,126,0.0877351076261364,6.659411783670593e-05,0,0,0,0,0,0
16,Nebraska,2016,1906483,176000,120,0.0923165850416709,6.294312616477566e-05,0,0,0,0,0,0
17,Nebraska,2017,1916998,180000,152,0.0938968115772682,7.929064088747094e-05,0,0,0,0,0,0
18,Nebraska,2018,1925512,200000,138,0.1038684775789504,7.16692495294758e-05,0,0,0,0,0,0
19,Nebraska,2019,1932571,227000,161,0.1174601088394682,8.33087115557462e-05,0,0,0,0,0,0
20,Nebraska,2020,1937552,220000,214,0.1135453396863671,0.000110448648604,0,0,0,0,0,0
21,South Dakota,2014,849670,62000,63,0.0729695058081372,7.414643332117176e-05,0,0,1,2020,0,2
22,South Dakota,2015,854663,75000,65,0.0877538866196383,7.60533684036866e-05,0,0,1,2020,0,2
23,South Dakota,2016,863693,83000,69,0.0960989610891833,7.988949777293552e-05,0,0,1,2020,0,2
24,South Dakota,2017,873732,87000,73,0.0995728667371688,8.354964680245201e-05,0,0,1,2020,0,2
25,South Dakota,2018,879386,86000,57,0.09779550731988,6.481795252596698e-05,0,0,1,2020,0,2
26,South Dakota,2019,887127,80000,86,0.0901787455460153,9.694215146196657e-05,0,0,1,2020,0,2
