,State,12 or Older Estimate,Year,Number of Deaths
0,Alabama,404,2014,723
1,Alaska,114,2014,124
2,Arizona,752,2014,356
3,Arizona,752,2014,1211
4,California,4633,2014,4521
5,Colorado,909,2014,899
6,Connecticut,427,2014,623
7,Delaware,109,2014,189
8,District of Columbia,121,2014,96
9,Florida,1990,2014,2634
10,Georgia,963,2014,1206
11,Hawaii,144,2014,157
12,Idaho,152,2014,212
13,Illinois,1305,2014,1705
14,Indiana,700,2014,1172
15,Iowa,251,2014,264
16,Kansas,259,2014,332
17,Kentucky,398,2014,1077
18,Louisiana,425,2014,777
19,Maine,224,2014,216
20,Maryland,670,2014,1070
21,Massachusetts,989,2014,1289
22,Michigan,1304,2014,1762
23,Minnesota,553,2014,517
24,Mississippi,229,2014,336
25,Missouri,639,2014,1067
26,Montana,120,2014,125
27,Nebraska,158,2014,125
28,Nevada,304,2014,545
29,New Hampshire,194,2014,334
30,New Jersey,844,2014,1253
31,New Mexico,267,2014,547
32,New York,2372,2014,2300
33,North Carolina,986,2014,1358
34,North Dakota,62,2014,43
35,Ohio,1122,2014,2744
36,Oklahoma,338,2014,777
37,Oregon,649,2014,522
38,Pennsylvania,1265,2014,2732
39,Rhode Island,170,2014,247
40,South Carolina,460,2014,701
41,South Dakota,62,2014,63
42,Tennessee,560,2014,1269
43,Texas,2043,2014,2601
44,Utah,224,2014,603
45,Vermont,108,2014,83
46,Virginia,891,2014,980
47,Washington,1105,2014,979
48,West Virginia,172,2014,627
49,Wisconsin,572,2014,853
50,Wyoming,51,2014,109
51,Alabama,389,2015,736
52,Alaska,127,2015,122
53,Arizona,734,2015,1274
54,Arkansas,284,2015,392
55,California,4936,2015,4659
56,Colorado,1033,2015,869
57,Connecticut,479,2015,800
58,Delaware,103,2015,198
59,District of Columbia,134,2015,125
60,Florida,2152,2015,3228
61,Georgia,1052,2015,1302
62,Hawaii,147,2015,169
63,Idaho,152,2015,218
64,Illinois,1339,2015,1835
65,Indiana,760,2015,1245
66,Iowa,235,2015,309
67,Kansas,292,2015,329
68,Kentucky,449,2015,1273
69,Louisiana,427,2015,861
70,Maine,227,2015,269
71,Maryland,757,2015,1285
72,Massachusetts,1058,2015,1724
73,Michigan,1266,2015,1980
74,Minnesota,579,2015,581
75,Mississippi,212,2015,351
76,Missouri,683,2015,1066
77,Montana,133,2015,138
78,Nebraska,166,2015,126
79,Nevada,309,2015,619
80,New Hampshire,199,2015,422
81,New Jersey,894,2015,1454
82,New Mexico,253,2015,501
83,New York,2519,2015,2754
84,North Carolina,975,2015,1567
85,North Dakota,61,2015,61
86,Ohio,1179,2015,3310
87,Oklahoma,358,2015,725
88,Oregon,659,2015,505
89,Pennsylvania,1339,2015,3264
90,Rhode Island,170,2015,310
91,South Carolina,507,2015,761
92,South Dakota,75,2015,65
93,Tennessee,606,2015,1457
94,Texas,2213,2015,2588
95,Utah,211,2015,646
96,Vermont,111,2015,99
97,Virginia,796,2015,1039
98,Washington,1037,2015,1094
99,West Virginia,174,2015,725
100,Wisconsin,584,2015,878
101,Wyoming,52,2015,96
102,Alabama,386,2016,756
103,Alaska,134,2016,128
104,Arizona,696,2016,1382
105,Arkansas,274,2016,401
106,California,5296,2016,4654
107,Colorado,1057,2016,942
108,Connecticut,461,2016,971
109,Delaware,105,2016,282
110,District of Columbia,143,2016,269
111,Florida,2275,2016,4728
112,Georgia,1048,2016,1394
113,Hawaii,151,2016,191
114,Idaho,158,2016,243
115,Illinois,1320,2016,2411
116,Indiana,733,2016,1526
117,Iowa,254,2016,314
118,Kansas,265,2016,131
119,Kentucky,470,2016,1419
120,Louisiana,429,2016,996
121,Maine,228,2016,353
122,Maryland,779,2016,2044
123,Massachusetts,1088,2016,2227
124,Michigan,1317,2016,2347
125,Minnesota,592,2016,672
126,Mississippi,231,2016,352
127,Missouri,668,2016,1371
128,Montana,160,2016,119
129,Nebraska,176,2016,120
130,Nevada,319,2016,665
131,New Hampshire,202,2016,481
132,New Jersey,907,2016,2056
133,New Mexico,272,2016,500
134,New York,2491,2016,3638
135,North Carolina,996,2016,1956
136,North Dakota,61,2016,77
137,Ohio,1344,2016,4329
138,Oklahoma,357,2016,813
139,Oregon,783,2016,506
140,Pennsylvania,1415,2016,4627
141,Rhode Island,184,2016,326
142,South Carolina,448,2016,879
143,South Dakota,83,2016,69
144,Tennessee,709,2016,1630
145,Texas,2264,2016,2831
146,Utah,229,2016,635
147,Vermont,118,2016,125
148,Virginia,768,2016,1405
149,Washington,1140,2016,1102
150,West Virginia,179,2016,884
151,Wisconsin,592,2016,1074
152,Wyoming,51,2016,99
153,Alabama,429,2017,835
154,Alaska,133,2017,147
155,Arizona,802,2017,1532
156,Arkansas,312,2017,446
157,California,5713,2017,4868
158,Colorado,1155,2017,1015
159,Connecticut,497,2017,1072
160,Delaware,119,2017,338
161,District of Columbia,154,2017,310
162,Florida,2425,2017,5088
163,Georgia,993,2017,1537
164,Hawaii,152,2017,203
165,Idaho,175,2017,236
166,Illinois,1482,2017,2778
167,Indiana,796,2017,1852
168,Iowa,298,2017,341
169,Kansas,283,2017,333
170,Kentucky,475,2017,1566
171,Louisiana,469,2017,1108
172,Maine,253,2017,424
173,Maryland,781,2017,2247
174,Massachusetts,1173,2017,2168
175,Michigan,1406,2017,2694
176,Minnesota,635,2017,733
177,Mississippi,279,2017,354
178,Missouri,699,2017,1367
179,Montana,171,2017,119
180,Nebraska,180,2017,152
181,Nevada,416,2017,676
182,New Hampshire,216,2017,467
183,New Jersey,912,2017,2685
184,New Mexico,302,2017,493
185,New York,2436,2017,3921
186,North Carolina,1024,2017,2414
187,North Dakota,68,2017,68
188,Ohio,1343,2017,5111
189,Oklahoma,388,2017,775
190,Oregon,928,2017,530
191,Pennsylvania,1433,2017,5388
192,Rhode Island,189,2017,320
193,South Carolina,462,2017,1008
194,South Dakota,87,2017,73
195,Tennessee,748,2017,1776
196,Texas,2396,2017,2989
197,Utah,253,2017,650
198,Vermont,129,2017,134
199,Virginia,824,2017,1507
200,Washington,1378,2017,1169
201,West Virginia,200,2017,974
202,Wisconsin,619,2017,1177
203,Wyoming,58,2017,69
204,Alabama,514,2018,775
205,Alaska,139,2018,110
206,Arizona,987,2018,1670
207,Arkansas,333,2018,444
208,Delaware,139,2018,401
209,District of Columbia,157,2018,254
210,Florida,2587,2018,4698
211,Hawaii,165,2018,213
212,Idaho,196,2018,250
213,Illinois,1635,2018,2722
214,Indiana,867,2018,1629
215,Iowa,326,2018,287
216,Kentucky,478,2018,1315
217,Louisiana,468,2018,1140
218,Maine,277,2018,345
219,Maryland,738,2018,2324
220,Massachusetts,1218,2018,2241
221,Michigan,1562,2018,2591
222,Mississippi,284,2018,310
223,Missouri,743,2018,1610
224,Nebraska,200,2018,138
225,New Hampshire,240,2018,452
226,New Jersey,931,2018,2900
227,New Mexico,325,2018,537
228,New York,2556,2018,3697
229,North Carolina,1104,2018,2259
230,North Dakota,74,2018,70
231,Ohio,1348,2018,3980
232,Oklahoma,416,2018,716
233,Pennsylvania,1542,2018,4415
234,Rhode Island,189,2018,317
235,South Carolina,578,2018,1125
236,South Dakota,86,2018,57
237,Tennessee,739,2018,1823
238,Texas,2559,2018,3005
239,Utah,271,2018,624
240,Vermont,138,2018,153
241,Virginia,841,2018,1448
242,Washington,1467,2018,1164
243,West Virginia,222,2018,856
244,Wisconsin,666,2018,1079
245,Alabama,605,2019,768
246,Alaska,146,2019,132
247,Arizona,968,2019,1907
248,Arkansas,338,2019,388
249,California,6641,2019,6198
250,Colorado,1265,2019,1079
251,Connecticut,583,2019,1214
252,Delaware,149,2019,435
253,District of Columbia,164,2019,311
254,Florida,2705,2019,5268
255,Georgia,1310,2019,1408
256,Hawaii,182,2019,242
257,Idaho,205,2019,265
258,Illinois,1748,2019,2790
259,Indiana,928,2019,1699
260,Iowa,327,2019,352
261,Kansas,349,2019,403
262,Kentucky,553,2019,1380
263,Louisiana,464,2019,1267
264,Maine,289,2019,371
265,Maryland,813,2019,2369
266,Massachusetts,1318,2019,2210
267,Michigan,1765,2019,2385
268,Minnesota,781,2019,792
269,Mississippi,297,2019,394
270,Missouri,763,2019,1583
271,Montana,180,2019,143
272,Nebraska,227,2019,161
273,Nevada,613,2019,647
274,New Hampshire,253,2019,407
275,New Jersey,1033,2019,2805
276,New Mexico,358,2019,599
277,New York,2871,2019,3617
